ncm;nac;imp;est;mun
07081000;13.45;21.23;12.00;0.00
07082000;13.45;21.23;12.00;0.00
07089000;13.45;21.23;12.00;0.00
0709;13.45;15.45;0.00;3.16
07092000;13.45;21.23;18.00;0.00
07093000;13.45;21.23;18.00;0.00
07094000;13.45;21.23;18.00;0.00
07095100;13.45;21.23;18.00;0.00
07095200;13.45;21.23;18.00;0.00
07095300;13.45;21.23;18.00;0.00
07095400;13.45;21.23;18.00;0.00
07095500;13.45;21.23;18.00;0.00
07095600;13.45;21.23;18.00;0.00
07095900;13.45;21.23;18.00;0.00
07096000;13.45;21.23;18.00;0.00
07097000;13.45;21.23;18.00;0.00
07099100;13.45;21.23;18.00;0.00
07099200;13.45;21.23;18.00;0.00
07099300;13.45;21.23;18.00;0.00
07099911;13.45;15.45;18.00;0.00
07099919;13.45;21.23;18.00;0.00
07099990;13.45;21.23;18.00;0.00
0710;13.45;15.45;0.00;2.91
07101000;13.45;21.23;18.00;0.00
07102100;13.45;21.23;18.00;0.00
07102200;13.45;21.23;12.00;0.00
07102900;13.45;21.23;18.00;0.00
07103000;13.45;21.23;18.00;0.00
07104000;13.45;21.23;18.00;0.00
07108000;13.45;21.23;18.00;0.00
07109000;13.45;21.23;18.00;0.00
0711;13.45;15.45;0.00;3.06
07112010;13.45;21.23;18.00;0.00
07112020;13.45;21.23;18.00;0.00
07112090;13.45;21.23;18.00;0.00
07114000;13.45;21.23;18.00;0.00
07115100;13.45;21.23;18.00;0.00
07115900;15.65;23.43;18.00;0.00
07119000;13.45;21.23;18.00;0.00
0712;13.45;15.45;0.00;3.17
07122000;13.45;21.23;18.00;0.00
07123100;13.45;21.23;18.00;0.00
07123200;13.45;21.23;18.00;0.00
07123300;13.45;21.23;18.00;0.00
07123400;13.45;21.23;18.00;0.00
07123900;13.45;21.23;18.00;0.00
07129020;13.45;21.23;18.00;0.00
07129090;13.45;21.23;18.00;0.00
0713;13.45;15.45;0.00;3.22
07131010;13.45;15.45;18.00;0.00
07131090;13.45;21.23;18.00;0.00
07132010;13.45;15.45;18.00;0.00
07132090;13.45;21.23;18.00;0.00
07133110;13.45;15.45;12.00;0.00
07133190;13.45;21.23;12.00;0.00
